tag,date,hour_ending,load_mw
D,07/20/2026,0,12158.9
D,07/20/2026,1,11672.76
D,07/20/2026,2,11458.13
D,07/20/2026,3,11083.58
D,07/20/2026,4,11088.35
D,07/20/2026,5,11357.97
D,07/20/2026,6,11503.01
D,07/20/2026,7,11759.17
D,07/20/2026,8,11535.13
D,07/20/2026,9,11191.52
D,07/20/2026,10,10966.36
D,07/20/2026,11,11102.26
D,07/20/2026,12,11443.58
D,07/20/2026,13,11735.17
D,07/20/2026,14,12320.78
D,07/20/2026,15,13286.22
D,07/20/2026,16,14622.15
D,07/20/2026,17,16156.9
D,07/20/2026,18,17300.15
D,07/20/2026,19,17337.58
D,07/20/2026,20,16818.58
D,07/20/2026,21,16001.42
D,07/20/2026,22,14703.07
D,07/20/2026,23,13381.92
D,07/21/2026,0,12439.6
D,07/21/2026,1,12413.75
D,07/21/2026,2,12320.54
D,07/21/2026,3,12101.22
D,07/21/2026,4,12212.04
D,07/21/2026,5,12514.8
D,07/21/2026,6,12693.01
D,07/21/2026,7,12948.34
D,07/21/2026,8,13037.79
D,07/21/2026,9,13249.78
D,07/21/2026,10,13734.63
D,07/21/2026,11,14397.54
D,07/21/2026,12,14851.58
D,07/21/2026,13,14806.86
D,07/21/2026,14,15092.32
D,07/21/2026,15,15746.14
D,07/21/2026,16,16272.0
D,07/21/2026,17,16500.43
D,07/21/2026,18,16491.18
D,07/21/2026,19,16444.21
D,07/21/2026,20,16361.33
D,07/21/2026,21,15920.41
D,07/21/2026,22,14989.71
D,07/21/2026,23,13993.49
D,07/22/2026,0,13706.28
D,07/22/2026,1,14019.98
D,07/22/2026,2,14164.96
D,07/22/2026,3,14008.51
D,07/22/2026,4,14143.25
D,07/22/2026,5,14455.91
D,07/22/2026,6,14624.71
D,07/22/2026,7,14783.4
D,07/22/2026,8,15115.08
D,07/22/2026,9,15052.45
D,07/22/2026,10,15266.21
D,07/22/2026,11,15283.68
D,07/22/2026,12,15780.01
D,07/22/2026,13,16387.69
D,07/22/2026,14,16788.02
D,07/22/2026,15,17055.37
D,07/22/2026,16,17475.1
D,07/22/2026,17,18348.95
D,07/22/2026,18,18866.19
D,07/22/2026,19,18751.8
D,07/22/2026,20,18332.06
D,07/22/2026,21,17267.92
D,07/22/2026,22,15682.23
D,07/22/2026,23,14173.1
D,07/23/2026,0,13086.86
D,07/23/2026,1,12882.56
D,07/23/2026,2,12617.38
D,07/23/2026,3,12370.28
D,07/23/2026,4,12334.4
D,07/23/2026,5,12706.52
D,07/23/2026,6,12606.34
D,07/23/2026,7,12327.47
D,07/23/2026,8,12200.82
D,07/23/2026,9,11707.98
D,07/23/2026,10,11567.08
D,07/23/2026,11,11071.45
D,07/23/2026,12,11243.61
D,07/23/2026,13,11598.54
D,07/23/2026,14,11928.15
D,07/23/2026,15,12829.13
D,07/23/2026,16,14129.47
D,07/23/2026,17,15579.12
D,07/23/2026,18,16558.25
D,07/23/2026,19,16633.81
D,07/23/2026,20,16235.68
D,07/23/2026,21,15542.22
D,07/23/2026,22,14327.04
D,07/23/2026,23,13225.34
D,07/24/2026,0,12573.65
D,07/24/2026,1,12059.55
D,07/24/2026,2,11786.52
D,07/24/2026,3,11676.27
D,07/24/2026,4,11748.03
D,07/24/2026,5,11909.58
D,07/24/2026,6,11770.95
D,07/24/2026,7,11883.15
D,07/24/2026,8,11480.15
D,07/24/2026,9,11466.98
D,07/24/2026,10,11353.78
D,07/24/2026,11,11365.85
D,07/24/2026,12,11645.11
D,07/24/2026,13,12109.31
D,07/24/2026,14,12544.67
D,07/24/2026,15,13532.38
D,07/24/2026,16,14843.24
D,07/24/2026,17,16139.5
D,07/24/2026,18,16876.9
D,07/24/2026,19,16785.91
D,07/24/2026,20,16353.02
D,07/24/2026,21,15637.28
D,07/24/2026,22,14498.49
D,07/24/2026,23,13266.8
D,07/25/2026,0,12270.76
D,07/25/2026,1,11507.8
D,07/25/2026,2,11376.63
D,07/25/2026,3,11442.5
D,07/25/2026,4,11353.49
D,07/25/2026,5,11652.15
D,07/25/2026,6,11458.15
D,07/25/2026,7,11087.18
D,07/25/2026,8,10553.23
D,07/25/2026,9,10391.12
D,07/25/2026,10,9943.43
D,07/25/2026,11,10172.27
D,07/25/2026,12,10465.97
D,07/25/2026,13,10913.19
D,07/25/2026,14,11192.51
D,07/25/2026,15,11789.4
D,07/25/2026,16,13086.97
D,07/25/2026,17,14526.44
D,07/25/2026,18,15548.88
D,07/25/2026,19,15540.79
D,07/25/2026,20,15155.33
D,07/25/2026,21,14487.99
D,07/25/2026,22,13478.39
